pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.602771e-01, 2.602771e-01, 0.000000e+00, 0.000000e+00, 1.110725e-09, 4.251377e-01, 4.025033e-02, 4.010245e-08, 6.076942e-09, 7.562738e-10, 7.984270e-16, 3.024447e-16, 2.796825e-16, 2.162999e-16, 1.880248e-20, 2.797674e-16, 4.962420e-20, 3.115231e-16, 1.468681e+00, 1.322272e+09, 1.322272e+09, 2.722948e-07, 2.518018e-07, 1.692811e-11, 4.467731e-11, 3.610475e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.628686e-01, 2.628686e-01, 0.000000e+00, 0.000000e+00, 1.221763e-09, 4.250854e-01, 4.025850e-02, 4.406730e-08, 6.668211e-09, 8.293726e-10, 7.983199e-16, 3.026685e-16, 2.796818e-16, 2.159696e-16, 1.898490e-20, 2.797672e-16, 5.125898e-20, 3.121051e-16, 1.473118e+00, 1.205731e+09, 1.205731e+09, 2.477308e-07, 2.289165e-07, 1.553894e-11, 4.195491e-11, 3.606861e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.652376e-01, 2.652376e-01, 0.000000e+00, 0.000000e+00, 1.332836e-09, 4.250377e-01, 4.026666e-02, 4.802772e-08, 7.257997e-09, 9.022959e-10, 7.982351e-16, 3.028867e-16, 2.796812e-16, 2.156672e-16, 1.916526e-20, 2.797671e-16, 5.282727e-20, 3.126595e-16, 1.477160e+00, 1.108284e+09, 1.108284e+09, 2.272499e-07, 2.098392e-07, 1.437931e-11, 3.963525e-11, 3.603424e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.674194e-01, 2.674194e-01, 0.000000e+00, 0.000000e+00, 1.443925e-09, 4.249939e-01, 4.027481e-02, 5.198339e-08, 7.846324e-09, 9.750488e-10, 7.981692e-16, 3.031005e-16, 2.796805e-16, 2.153882e-16, 1.934334e-20, 2.797670e-16, 5.433757e-20, 3.131901e-16, 1.480875e+00, 1.025590e+09, 1.025590e+09, 2.099143e-07, 1.936946e-07, 1.339636e-11, 3.763184e-11, 3.600144e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.694413e-01, 2.694413e-01, 0.000000e+00, 0.000000e+00, 1.555024e-09, 4.249534e-01, 4.028295e-02, 5.593425e-08, 8.433243e-09, 1.047640e-09, 7.981195e-16, 3.033105e-16, 2.796799e-16, 2.151291e-16, 1.951908e-20, 2.797669e-16, 5.579674e-20, 3.137001e-16, 1.484312e+00, 9.545268e+08, 9.545268e+08, 1.950520e-07, 1.798557e-07, 1.255227e-11, 3.588160e-11, 3.597003e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.713839e-01, 2.713839e-01, 0.000000e+00, 0.000000e+00, 1.669694e-09, 4.249146e-01, 4.029134e-02, 6.000697e-08, 9.037593e-09, 1.122400e-09, 7.980828e-16, 3.035241e-16, 2.796792e-16, 2.148795e-16, 1.969798e-20, 2.797668e-16, 5.725509e-20, 3.142073e-16, 1.487611e+00, 8.909481e+08, 8.909481e+08, 1.817842e-07, 1.675033e-07, 1.179736e-11, 3.429077e-11, 3.593890e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.731281e-01, 2.731281e-01, 0.000000e+00, 0.000000e+00, 1.779752e-09, 4.248799e-01, 4.029938e-02, 6.391115e-08, 9.616336e-09, 1.194006e-09, 7.980597e-16, 3.037263e-16, 2.796786e-16, 2.146547e-16, 1.986734e-20, 2.797668e-16, 5.861392e-20, 3.146781e-16, 1.490572e+00, 8.375164e+08, 8.375164e+08, 1.706565e-07, 1.571447e-07, 1.116298e-11, 3.293376e-11, 3.591014e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.747477e-01, 2.747477e-01, 0.000000e+00, 0.000000e+00, 1.888339e-09, 4.248477e-01, 4.030730e-02, 6.775880e-08, 1.018616e-08, 1.264524e-09, 7.980471e-16, 3.039237e-16, 2.796780e-16, 2.144454e-16, 2.003222e-20, 2.797668e-16, 5.991915e-20, 3.151287e-16, 1.493320e+00, 7.908115e+08, 7.908115e+08, 1.609476e-07, 1.481079e-07, 1.060838e-11, 3.173113e-11, 3.588275e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.777937e-01, 2.777937e-01, 0.000000e+00, 0.000000e+00, 2.110555e-09, 4.247873e-01, 4.032349e-02, 7.561981e-08, 1.134882e-08, 1.408451e-09, 7.980485e-16, 3.043219e-16, 2.796768e-16, 2.140498e-16, 2.036307e-20, 2.797667e-16, 6.249308e-20, 3.160136e-16, 1.498493e+00, 7.099997e+08, 7.099997e+08, 1.441905e-07, 1.325134e-07, 9.648206e-12, 2.960979e-11, 3.582935e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.792000e-01, 2.792000e-01, 0.000000e+00, 0.000000e+00, 2.221663e-09, 4.247595e-01, 4.033157e-02, 7.954410e-08, 1.192851e-08, 1.480236e-09, 7.980610e-16, 3.045186e-16, 2.796762e-16, 2.138662e-16, 2.052531e-20, 2.797667e-16, 6.373641e-20, 3.164395e-16, 1.500884e+00, 6.755678e+08, 6.755678e+08, 1.370679e-07, 1.258860e-07, 9.238715e-12, 2.868860e-11, 3.580385e+01, nan, 1.370000e+00
