pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.868283e-01, 3.868283e-01, 0.000000e+00, 0.000000e+00, 1.110336e-09, 4.943682e-01, 3.639808e-02, 3.835245e-08, 6.709172e-09, 9.598461e-11, 2.725025e-15, 5.139022e-16, 2.597372e-16, 1.951385e-15, 2.656601e-19, 2.600473e-16, 1.123700e-18, 7.487699e-16, 1.156786e+01, 1.041834e+10, 1.041834e+10, 4.628348e-07, 2.339266e-07, 2.392610e-10, 1.012036e-09, 3.454130e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.895859e-01, 3.895859e-01, 0.000000e+00, 0.000000e+00, 1.221442e-09, 4.943613e-01, 3.647428e-02, 4.208262e-08, 7.352360e-09, 1.052083e-10, 2.736396e-15, 5.303993e-16, 2.597400e-16, 1.946256e-15, 2.749612e-19, 2.600553e-16, 1.176100e-18, 7.722217e-16, 1.160975e+01, 9.504956e+09, 9.504956e+09, 4.342404e-07, 2.126503e-07, 2.251120e-10, 9.628786e-10, 3.445323e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.921101e-01, 3.921101e-01, 0.000000e+00, 0.000000e+00, 1.332573e-09, 4.943551e-01, 3.655018e-02, 4.580138e-08, 7.992831e-09, 1.143927e-10, 2.747884e-15, 5.467573e-16, 2.597427e-16, 1.941384e-15, 2.839523e-19, 2.600631e-16, 1.226764e-18, 7.950001e-16, 1.164911e+01, 8.741819e+09, 8.741819e+09, 4.103020e-07, 1.949182e-07, 2.130858e-10, 9.205980e-10, 3.437063e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.944367e-01, 3.944367e-01, 0.000000e+00, 0.000000e+00, 1.443668e-09, 4.943494e-01, 3.662576e-02, 4.950747e-08, 8.630440e-09, 1.235347e-10, 2.759447e-15, 5.629699e-16, 2.597453e-16, 1.936732e-15, 2.926621e-19, 2.600707e-16, 1.275853e-18, 8.171692e-16, 1.168634e+01, 8.094894e+09, 8.094894e+09, 3.899579e-07, 1.799203e-07, 2.027212e-10, 8.837575e-10, 3.429283e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.965956e-01, 3.965956e-01, 0.000000e+00, 0.000000e+00, 1.554769e-09, 4.943441e-01, 3.670103e-02, 5.320296e-08, 9.265607e-09, 1.326393e-10, 2.771062e-15, 5.790458e-16, 2.597478e-16, 1.932268e-15, 3.011213e-19, 2.600780e-16, 1.323539e-18, 8.387992e-16, 1.172178e+01, 7.539242e+09, 7.539242e+09, 3.724320e-07, 1.670652e-07, 1.936759e-10, 8.512770e-10, 3.421921e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.986097e-01, 3.986097e-01, 0.000000e+00, 0.000000e+00, 1.665873e-09, 4.943391e-01, 3.677600e-02, 5.688838e-08, 9.898473e-09, 1.417079e-10, 2.782707e-15, 5.949873e-16, 2.597502e-16, 1.927969e-15, 3.093524e-19, 2.600852e-16, 1.369950e-18, 8.599405e-16, 1.175568e+01, 7.056768e+09, 7.056768e+09, 3.571625e-07, 1.559244e-07, 1.856999e-10, 8.223617e-10, 3.414930e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 4.004975e-01, 4.004975e-01, 0.000000e+00, 0.000000e+00, 1.776978e-09, 4.943345e-01, 3.685068e-02, 6.056420e-08, 1.052917e-08, 1.507417e-10, 2.794365e-15, 6.107969e-16, 2.597526e-16, 1.923816e-15, 3.173745e-19, 2.600922e-16, 1.415192e-18, 8.806352e-16, 1.178823e+01, 6.633866e+09, 6.633866e+09, 3.437279e-07, 1.461766e-07, 1.786035e-10, 7.964037e-10, 3.408269e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 4.022742e-01, 4.022742e-01, 0.000000e+00, 0.000000e+00, 1.888084e-09, 4.943302e-01, 3.692507e-02, 6.423087e-08, 1.115781e-08, 1.597416e-10, 2.806023e-15, 6.264771e-16, 2.597549e-16, 1.919791e-15, 3.252040e-19, 2.600990e-16, 1.459356e-18, 9.009190e-16, 1.181962e+01, 6.260110e+09, 6.260110e+09, 3.318056e-07, 1.375759e-07, 1.722402e-10, 7.729296e-10, 3.401907e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 4.055425e-01, 4.055425e-01, 0.000000e+00, 0.000000e+00, 2.110299e-09, 4.943222e-01, 3.707299e-02, 7.153837e-08, 1.240934e-08, 1.776439e-10, 2.829299e-15, 6.574585e-16, 2.597593e-16, 1.912081e-15, 3.403397e-19, 2.601122e-16, 1.544757e-18, 9.403718e-16, 1.187938e+01, 5.629238e+09, 5.629238e+09, 3.115475e-07, 1.230912e-07, 1.612756e-10, 7.320087e-10, 3.389963e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 4.070537e-01, 4.070537e-01, 0.000000e+00, 0.000000e+00, 2.221407e-09, 4.943185e-01, 3.714653e-02, 7.517989e-08, 1.303241e-08, 1.865481e-10, 2.840901e-15, 6.727643e-16, 2.597614e-16, 1.908375e-15, 3.476689e-19, 2.601187e-16, 1.586122e-18, 9.595901e-16, 1.190796e+01, 5.360548e+09, 5.360548e+09, 3.028551e-07, 1.169355e-07, 1.565084e-10, 7.140167e-10, 3.384337e+01, nan, 1.370000e+00
