pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.531384e-01, 2.531384e-01, 0.000000e+00, 0.000000e+00, 1.109469e-09, 3.969919e-01, 5.051379e-02, 2.776366e-08, 5.193441e-09, 1.003266e-10, 2.818136e-15, 5.652265e-16, 2.607066e-16, 1.992203e-15, 7.726180e-19, 2.621635e-16, 1.902268e-18, 8.567658e-16, 1.105858e+01, 9.967450e+09, 9.967450e+09, 5.094569e-07, 2.349833e-07, 6.963855e-10, 1.714575e-09, 2.502428e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.569412e-01, 2.569412e-01, 0.000000e+00, 0.000000e+00, 1.220545e-09, 3.969775e-01, 5.059735e-02, 3.048761e-08, 5.693056e-09, 1.088839e-10, 2.835663e-15, 5.907182e-16, 2.607033e-16, 1.984242e-15, 7.940632e-19, 2.621605e-16, 2.038083e-18, 8.894663e-16, 1.120960e+01, 9.184092e+09, 9.184092e+09, 4.839790e-07, 2.135958e-07, 6.505808e-10, 1.669814e-09, 2.497869e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.604189e-01, 2.604189e-01, 0.000000e+00, 0.000000e+00, 1.331627e-09, 3.969645e-01, 5.068063e-02, 3.320591e-08, 6.190804e-09, 1.173804e-10, 2.853280e-15, 6.158911e-16, 2.607014e-16, 1.976687e-15, 8.148026e-19, 2.621606e-16, 2.166452e-18, 9.212102e-16, 1.134454e+01, 8.519307e+09, 8.519307e+09, 4.625102e-07, 1.957766e-07, 6.118849e-10, 1.626921e-09, 2.493634e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.636233e-01, 2.636233e-01, 0.000000e+00, 0.000000e+00, 1.442713e-09, 3.969527e-01, 5.076364e-02, 3.591896e-08, 6.686831e-09, 1.258210e-10, 2.870925e-15, 6.407438e-16, 2.607006e-16, 1.969481e-15, 8.348809e-19, 2.621630e-16, 2.288381e-18, 9.520884e-16, 1.146639e+01, 7.947800e+09, 7.947800e+09, 4.441243e-07, 1.807017e-07, 5.786882e-10, 1.586165e-09, 2.489682e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.665946e-01, 2.665946e-01, 0.000000e+00, 0.000000e+00, 1.553801e-09, 3.969419e-01, 5.084637e-02, 3.862712e-08, 7.181270e-09, 1.342097e-10, 2.888556e-15, 6.652774e-16, 2.607007e-16, 1.962578e-15, 8.543399e-19, 2.621673e-16, 2.404659e-18, 9.821757e-16, 1.157741e+01, 7.451026e+09, 7.451026e+09, 4.281613e-07, 1.677826e-07, 5.498388e-10, 1.547598e-09, 2.485977e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.693647e-01, 2.693647e-01, 0.000000e+00, 0.000000e+00, 1.664890e-09, 3.969320e-01, 5.092883e-02, 4.133072e-08, 7.674234e-09, 1.425502e-10, 2.906138e-15, 6.894944e-16, 2.607015e-16, 1.955942e-15, 8.732180e-19, 2.621730e-16, 2.515919e-18, 1.011534e-15, 1.167933e+01, 7.015074e+09, 7.015074e+09, 4.141380e-07, 1.565878e-07, 5.244898e-10, 1.511162e-09, 2.482489e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.719595e-01, 2.719595e-01, 0.000000e+00, 0.000000e+00, 1.775981e-09, 3.969228e-01, 5.101103e-02, 4.403005e-08, 8.165824e-09, 1.508454e-10, 2.923645e-15, 7.133987e-16, 2.607028e-16, 1.949544e-15, 8.915506e-19, 2.621798e-16, 2.622676e-18, 1.040218e-15, 1.177352e+01, 6.629303e+09, 6.629303e+09, 4.016927e-07, 1.467937e-07, 5.020045e-10, 1.476747e-09, 2.479196e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.744001e-01, 2.744001e-01, 0.000000e+00, 0.000000e+00, 1.887073e-09, 3.969142e-01, 5.109296e-02, 4.672537e-08, 8.656130e-09, 1.590981e-10, 2.941059e-15, 7.369947e-16, 2.607046e-16, 1.943360e-15, 9.093696e-19, 2.621876e-16, 2.725360e-18, 1.068271e-15, 1.186107e+01, 6.285429e+09, 6.285429e+09, 3.905490e-07, 1.381529e-07, 4.818941e-10, 1.444225e-09, 2.476076e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.788856e-01, 2.788856e-01, 0.000000e+00, 0.000000e+00, 2.109261e-09, 3.968987e-01, 5.125606e-02, 5.210490e-08, 9.633195e-09, 1.754849e-10, 2.975549e-15, 7.832822e-16, 2.607092e-16, 1.931558e-15, 9.435819e-19, 2.622052e-16, 2.919894e-18, 1.122640e-15, 1.201962e+01, 5.698496e+09, 5.698496e+09, 3.713539e-07, 1.236022e-07, 4.473519e-10, 1.384321e-09, 2.470292e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.809576e-01, 2.809576e-01, 0.000000e+00, 0.000000e+00, 2.220356e-09, 3.968916e-01, 5.133722e-02, 5.478950e-08, 1.012009e-08, 1.836228e-10, 2.992605e-15, 8.059844e-16, 2.607119e-16, 1.925908e-15, 9.600263e-19, 2.622149e-16, 3.012317e-18, 1.149022e-15, 1.209194e+01, 5.445947e+09, 5.445947e+09, 3.629979e-07, 1.174190e-07, 4.323750e-10, 1.356682e-09, 2.467600e+01, nan, 1.370000e+00
